task,sample_id,model_a,model_b,pairwise_cosine_similarity
feed_post_generation,FEED-SAMPLE-010,exaone,llama-8b,0.7073128819465637
feed_post_generation,FEED-SAMPLE-010,exaone,midm-base,0.8748290538787842
feed_post_generation,FEED-SAMPLE-010,exaone,midm-mini,0.7449573278427124
feed_post_generation,FEED-SAMPLE-010,exaone,qwen-7b,0.7114782333374023
feed_post_generation,FEED-SAMPLE-010,kanana,llama-8b,0.7250548601150513
feed_post_generation,FEED-SAMPLE-010,kanana,midm-base,0.8147686719894409
feed_post_generation,FEED-SAMPLE-010,kanana,midm-mini,0.5518918037414551
feed_post_generation,FEED-SAMPLE-010,kanana,qwen-7b,0.7257276773452759
feed_post_generation,FEED-SAMPLE-010,llama-8b,midm-base,0.8436532020568848
feed_post_generation,FEED-SAMPLE-010,llama-8b,midm-mini,0.5030861496925354
feed_post_generation,FEED-SAMPLE-010,llama-8b,qwen-7b,0.7857762575149536
feed_post_generation,FEED-SAMPLE-010,midm-base,midm-mini,0.5941727161407471
feed_post_generation,FEED-SAMPLE-010,midm-base,qwen-7b,0.8161704540252686
feed_post_generation,FEED-SAMPLE-010,midm-mini,qwen-7b,0.5242435932159424
feed_post_generation,FEED-SAMPLE-011,exaone,kanana,0.8178561925888062
feed_post_generation,FEED-SAMPLE-011,exaone,llama-8b,0.7964924573898315
feed_post_generation,FEED-SAMPLE-011,exaone,midm-base,0.7435816526412964
feed_post_generation,FEED-SAMPLE-011,exaone,midm-mini,0.7797967195510864
feed_post_generation,FEED-SAMPLE-011,exaone,qwen-7b,0.774668276309967
feed_post_generation,FEED-SAMPLE-011,kanana,llama-8b,0.8779004812240601
feed_post_generation,FEED-SAMPLE-011,kanana,midm-base,0.9088268876075745
feed_post_generation,FEED-SAMPLE-011,kanana,midm-mini,0.8260352611541748
feed_post_generation,FEED-SAMPLE-011,kanana,qwen-7b,0.8573448061943054
feed_post_generation,FEED-SAMPLE-011,llama-8b,midm-base,0.8966230154037476
feed_post_generation,FEED-SAMPLE-011,llama-8b,midm-mini,0.7454456090927124
feed_post_generation,FEED-SAMPLE-011,llama-8b,qwen-7b,0.8759171962738037
feed_post_generation,FEED-SAMPLE-011,midm-base,midm-mini,0.8329504728317261
feed_post_generation,FEED-SAMPLE-011,midm-base,qwen-7b,0.9273343086242676
feed_post_generation,FEED-SAMPLE-011,midm-mini,qwen-7b,0.8783547878265381
feed_post_generation,FEED-SAMPLE-012,exaone,kanana,0.8627727627754211
feed_post_generation,FEED-SAMPLE-012,exaone,llama-8b,0.785590410232544
feed_post_generation,FEED-SAMPLE-012,exaone,midm-base,0.8428493738174438
feed_post_generation,FEED-SAMPLE-012,exaone,midm-mini,0.7961106300354004
feed_post_generation,FEED-SAMPLE-012,exaone,qwen-7b,0.8283637762069702
feed_post_generation,FEED-SAMPLE-012,kanana,llama-8b,0.789912760257721
feed_post_generation,FEED-SAMPLE-012,kanana,midm-base,0.6998701095581055
feed_post_generation,FEED-SAMPLE-012,kanana,midm-mini,0.7489180564880371
feed_post_generation,FEED-SAMPLE-012,kanana,qwen-7b,0.7944658994674683
feed_post_generation,FEED-SAMPLE-012,llama-8b,midm-base,0.671744704246521
feed_post_generation,FEED-SAMPLE-012,llama-8b,midm-mini,0.7172349691390991
feed_post_generation,FEED-SAMPLE-012,llama-8b,qwen-7b,0.9232683181762695
feed_post_generation,FEED-SAMPLE-012,midm-base,midm-mini,0.7845627665519714
feed_post_generation,FEED-SAMPLE-012,midm-base,qwen-7b,0.7718526721000671
feed_post_generation,FEED-SAMPLE-012,midm-mini,qwen-7b,0.7704209685325623
feed_post_generation,FEED-SAMPLE-013,exaone,kanana,0.8181629180908203
feed_post_generation,FEED-SAMPLE-013,exaone,llama-8b,0.8003251552581787
feed_post_generation,FEED-SAMPLE-013,exaone,midm-base,0.8568699359893799
feed_post_generation,FEED-SAMPLE-013,exaone,midm-mini,0.8211396336555481
feed_post_generation,FEED-SAMPLE-013,exaone,qwen-7b,0.7979652285575867
feed_post_generation,FEED-SAMPLE-013,kanana,llama-8b,0.871346116065979
feed_post_generation,FEED-SAMPLE-013,kanana,midm-base,0.9267532229423523
feed_post_generation,FEED-SAMPLE-013,kanana,midm-mini,0.8865551948547363
feed_post_generation,FEED-SAMPLE-013,kanana,qwen-7b,0.8635112643241882
feed_post_generation,FEED-SAMPLE-013,llama-8b,midm-base,0.8243467211723328
feed_post_generation,FEED-SAMPLE-013,llama-8b,midm-mini,0.892116904258728
feed_post_generation,FEED-SAMPLE-013,llama-8b,qwen-7b,0.7920454740524292
feed_post_generation,FEED-SAMPLE-013,midm-base,midm-mini,0.8952791690826416
feed_post_generation,FEED-SAMPLE-013,midm-base,qwen-7b,0.8576380014419556
feed_post_generation,FEED-SAMPLE-013,midm-mini,qwen-7b,0.855355441570282
feed_post_generation,FEED-SAMPLE-014,exaone,kanana,0.92453932762146
feed_post_generation,FEED-SAMPLE-014,exaone,llama-8b,0.844632625579834
