model_key,task,samples,auto_score,json_parse_success_rate,schema_success_rate,korean_output_rate,length_success_rate,forbidden_count,avg_latency_sec,total_latency_sec,avg_generated_tokens,avg_tokens_per_sec,speed_score,judge_score,final_score,samples_per_min,_source_file
midm-base,quest_generation,10,3.602,0.7,0.7,1.0,0.0,0.0,14.473,144.732,,,1.485,3.239,3.403,4.146,final_summary-midm_base.csv
midm-base,todo_decomposition,10,4.74,1.0,1.0,1.0,1.0,0.0,42.47,424.699,,,1.0,3.913,4.284,1.413,final_summary-midm_base.csv
midm-mini,character_message_generation,10,2.999,1.0,0.3,0.3,1.0,0.0,1.868,18.679,,,4.65,1.738,2.306,32.122,final_summary-midm_mini.csv
midm-mini,feed_post_generation,10,4.724,1.0,1.0,1.0,1.0,0.0,7.687,76.868,,,3.251,3.276,3.929,7.806,final_summary-midm_mini.csv
midm-mini,planner_chatbot,10,3.28,1.0,0.7,0.7,1.0,0.0,37.38,373.802,,,3.025,2.0,2.577,1.605,final_summary-midm_mini.csv
midm-mini,quest_generation,10,4.194,1.0,1.0,1.0,0.0,0.0,7.265,72.651,,,3.379,3.276,3.688,8.259,final_summary-midm_mini.csv
midm-mini,todo_decomposition,10,4.94,1.0,1.0,1.0,1.0,0.0,17.206,172.058,,,1.174,3.661,4.236,3.487,final_summary-midm_mini.csv
qwen-3b,character_message_generation,10,4.245,1.0,1.0,1.0,1.0,0.0,0.83,8.301,,,5.0,3.388,3.774,72.279,final_summary-qwen_3b.csv
qwen-3b,feed_post_generation,10,4.759,1.0,1.0,1.0,1.0,0.0,0.825,8.248,,,5.0,3.575,4.11,72.746,final_summary-qwen_3b.csv
qwen-3b,planner_chatbot,10,4.12,0.8,0.8,1.0,1.0,0.0,3.287,32.874,,,4.953,2.312,3.125,18.251,final_summary-qwen_3b.csv
qwen-3b,quest_generation,10,3.485,0.8,0.8,1.0,0.2,0.0,0.74,7.396,,,5.0,2.388,2.882,81.127,final_summary-qwen_3b.csv
qwen-3b,todo_decomposition,10,4.82,1.0,1.0,1.0,1.0,0.0,2.188,21.878,,,4.607,3.625,4.162,27.425,final_summary-qwen_3b.csv
qwen-7b,character_message_generation,10,4.29,1.0,1.0,1.0,1.0,0.0,8.002,80.023,,,3.154,3.713,3.974,7.498,final_summary-qwen_7b.csv
qwen-7b,feed_post_generation,10,4.673,1.0,1.0,1.0,1.0,0.0,8.277,82.774,,,3.07,3.25,3.889,7.249,final_summary-qwen_7b.csv
qwen-7b,planner_chatbot,10,4.4,0.8,0.8,1.0,1.0,0.0,56.682,566.821,,,1.363,2.4,3.301,1.059,final_summary-qwen_7b.csv
qwen-7b,quest_generation,10,3.566,0.7,0.7,1.0,0.0,0.0,8.662,86.625,,,2.95,2.538,3.0,6.926,final_summary-qwen_7b.csv
qwen-7b,todo_decomposition,10,4.7,1.0,1.0,1.0,1.0,0.0,21.886,218.861,,,1.246,3.787,4.198,2.741,final_summary-qwen_7b.csv
kanana-nano-2.1b-vllm,character_message_generation,10,4.066,1.0,1.0,1.0,0.9,0.0,0.525,5.252,,,5.0,3.486,3.748,114.244,final_summary_kanana.csv
kanana-nano-2.1b-vllm,feed_post_generation,10,4.795,1.0,1.0,1.0,1.0,0.0,0.51,5.1,,,5.0,3.3,3.975,117.642,final_summary_kanana.csv
kanana-nano-2.1b-vllm,planner_chatbot,10,4.28,0.8,0.8,0.8,1.0,0.0,3.173,31.73,,,4.944,2.112,3.089,18.909,final_summary_kanana.csv
kanana-nano-2.1b-vllm,quest_generation,10,3.328,0.5,0.5,1.0,0.3,0.0,0.427,4.273,,,5.0,2.786,3.031,140.423,final_summary_kanana.csv
kanana-nano-2.1b-vllm,todo_decomposition,10,4.947,1.0,1.0,1.0,1.0,0.0,0.755,7.552,,,4.996,3.75,4.289,79.447,final_summary_kanana.csv
