task,sample_id,model_a,model_b,pairwise_cosine_similarity
character_message_generation,MSG-SAMPLE-002,llama-3b,midm-mini,0.6210616230964661
character_message_generation,MSG-SAMPLE-002,llama-3b,qwen-3b,0.72877436876297
character_message_generation,MSG-SAMPLE-002,llama-3b,qwen-7b,0.7903728485107422
character_message_generation,MSG-SAMPLE-002,llama-3b,kanana-nano-2.1b-vllm,0.6409052014350891
character_message_generation,MSG-SAMPLE-002,gemma-3-4b-it,midm-base,0.569891631603241
character_message_generation,MSG-SAMPLE-002,gemma-3-4b-it,midm-mini,0.7209040522575378
character_message_generation,MSG-SAMPLE-002,gemma-3-4b-it,qwen-3b,0.6155980229377747
character_message_generation,MSG-SAMPLE-002,gemma-3-4b-it,qwen-7b,0.5798840522766113
character_message_generation,MSG-SAMPLE-002,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.5204256176948547
character_message_generation,MSG-SAMPLE-002,midm-base,midm-mini,0.6370872259140015
character_message_generation,MSG-SAMPLE-002,midm-base,qwen-3b,0.5038833022117615
character_message_generation,MSG-SAMPLE-002,midm-base,qwen-7b,0.6854678392410278
character_message_generation,MSG-SAMPLE-002,midm-base,kanana-nano-2.1b-vllm,0.6278457641601562
character_message_generation,MSG-SAMPLE-002,midm-mini,qwen-3b,0.7324966192245483
character_message_generation,MSG-SAMPLE-002,midm-mini,qwen-7b,0.6678448915481567
character_message_generation,MSG-SAMPLE-002,midm-mini,kanana-nano-2.1b-vllm,0.5981511473655701
character_message_generation,MSG-SAMPLE-002,qwen-3b,qwen-7b,0.6462159156799316
character_message_generation,MSG-SAMPLE-002,qwen-3b,kanana-nano-2.1b-vllm,0.5853889584541321
character_message_generation,MSG-SAMPLE-002,qwen-7b,kanana-nano-2.1b-vllm,0.7260304093360901
character_message_generation,MSG-SAMPLE-003,llama-3b,gemma-3-4b-it,0.758330225944519
character_message_generation,MSG-SAMPLE-003,llama-3b,midm-base,0.5798510313034058
character_message_generation,MSG-SAMPLE-003,llama-3b,midm-mini,0.5635156035423279
character_message_generation,MSG-SAMPLE-003,llama-3b,qwen-3b,0.6857317090034485
character_message_generation,MSG-SAMPLE-003,llama-3b,qwen-7b,0.834710955619812
character_message_generation,MSG-SAMPLE-003,llama-3b,kanana-nano-2.1b-vllm,0.7790935039520264
character_message_generation,MSG-SAMPLE-003,gemma-3-4b-it,midm-base,0.839747428894043
character_message_generation,MSG-SAMPLE-003,gemma-3-4b-it,midm-mini,0.5280783176422119
character_message_generation,MSG-SAMPLE-003,gemma-3-4b-it,qwen-3b,0.7829368710517883
character_message_generation,MSG-SAMPLE-003,gemma-3-4b-it,qwen-7b,0.8215057253837585
character_message_generation,MSG-SAMPLE-003,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.6643127799034119
character_message_generation,MSG-SAMPLE-003,midm-base,midm-mini,0.4947291910648346
character_message_generation,MSG-SAMPLE-003,midm-base,qwen-3b,0.7763476967811584
character_message_generation,MSG-SAMPLE-003,midm-base,qwen-7b,0.6885056495666504
character_message_generation,MSG-SAMPLE-003,midm-base,kanana-nano-2.1b-vllm,0.5979008674621582
character_message_generation,MSG-SAMPLE-003,midm-mini,qwen-3b,0.40765097737312317
character_message_generation,MSG-SAMPLE-003,midm-mini,qwen-7b,0.4375452995300293
character_message_generation,MSG-SAMPLE-003,midm-mini,kanana-nano-2.1b-vllm,0.3863227665424347
character_message_generation,MSG-SAMPLE-003,qwen-3b,qwen-7b,0.7792179584503174
character_message_generation,MSG-SAMPLE-003,qwen-3b,kanana-nano-2.1b-vllm,0.7010562419891357
character_message_generation,MSG-SAMPLE-003,qwen-7b,kanana-nano-2.1b-vllm,0.8751177787780762
character_message_generation,MSG-SAMPLE-004,llama-3b,gemma-3-4b-it,0.45150572061538696
character_message_generation,MSG-SAMPLE-004,llama-3b,midm-base,0.3905606269836426
character_message_generation,MSG-SAMPLE-004,llama-3b,midm-mini,0.64974445104599
character_message_generation,MSG-SAMPLE-004,llama-3b,qwen-3b,0.6351917386054993
character_message_generation,MSG-SAMPLE-004,llama-3b,qwen-7b,0.5778727531433105
character_message_generation,MSG-SAMPLE-004,llama-3b,kanana-nano-2.1b-vllm,0.6990751028060913
character_message_generation,MSG-SAMPLE-004,gemma-3-4b-it,midm-base,0.7583421468734741
character_message_generation,MSG-SAMPLE-004,gemma-3-4b-it,midm-mini,0.6705842018127441
character_message_generation,MSG-SAMPLE-004,gemma-3-4b-it,qwen-3b,0.570526123046875
character_message_generation,MSG-SAMPLE-004,gemma-3-4b-it,qwen-7b,0.6048357486724854
character_message_generation,MSG-SAMPLE-004,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.5699495077133179
character_message_generation,MSG-SAMPLE-004,midm-base,midm-mini,0.6170117855072021
character_message_generation,MSG-SAMPLE-004,midm-base,qwen-3b,0.4177875220775604
character_message_generation,MSG-SAMPLE-004,midm-base,qwen-7b,0.6295437216758728
character_message_generation,MSG-SAMPLE-004,midm-base,kanana-nano-2.1b-vllm,0.4642752707004547
character_message_generation,MSG-SAMPLE-004,midm-mini,qwen-3b,0.7652422189712524
character_message_generation,MSG-SAMPLE-004,midm-mini,qwen-7b,0.8977978229522705
character_message_generation,MSG-SAMPLE-004,midm-mini,kanana-nano-2.1b-vllm,0.6217057704925537
character_message_generation,MSG-SAMPLE-004,qwen-3b,qwen-7b,0.6864032745361328
character_message_generation,MSG-SAMPLE-004,qwen-3b,kanana-nano-2.1b-vllm,0.6720316410064697
character_message_generation,MSG-SAMPLE-004,qwen-7b,kanana-nano-2.1b-vllm,0.566675066947937
character_message_generation,MSG-SAMPLE-005,llama-3b,gemma-3-4b-it,0.5224201083183289
character_message_generation,MSG-SAMPLE-005,llama-3b,midm-base,0.4688735604286194
character_message_generation,MSG-SAMPLE-005,llama-3b,midm-mini,0.3395206928253174
character_message_generation,MSG-SAMPLE-005,llama-3b,qwen-3b,0.2132968157529831
character_message_generation,MSG-SAMPLE-005,llama-3b,qwen-7b,0.26188600063323975
character_message_generation,MSG-SAMPLE-005,llama-3b,kanana-nano-2.1b-vllm,0.41377556324005127
character_message_generation,MSG-SAMPLE-005,gemma-3-4b-it,midm-base,0.5532763600349426
character_message_generation,MSG-SAMPLE-005,gemma-3-4b-it,midm-mini,0.7102152109146118
character_message_generation,MSG-SAMPLE-005,gemma-3-4b-it,qwen-3b,0.5162850618362427
character_message_generation,MSG-SAMPLE-005,gemma-3-4b-it,qwen-7b,0.757567822933197
character_message_generation,MSG-SAMPLE-005,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.7522879838943481
character_message_generation,MSG-SAMPLE-005,midm-base,midm-mini,0.5563636422157288
character_message_generation,MSG-SAMPLE-005,midm-base,qwen-3b,0.3637055456638336
character_message_generation,MSG-SAMPLE-005,midm-base,qwen-7b,0.5221959948539734
character_message_generation,MSG-SAMPLE-005,midm-base,kanana-nano-2.1b-vllm,0.5343302488327026
character_message_generation,MSG-SAMPLE-005,midm-mini,qwen-3b,0.5054095983505249
character_message_generation,MSG-SAMPLE-005,midm-mini,qwen-7b,0.6231376528739929
character_message_generation,MSG-SAMPLE-005,midm-mini,kanana-nano-2.1b-vllm,0.5831665992736816
character_message_generation,MSG-SAMPLE-005,qwen-3b,qwen-7b,0.6505386829376221
character_message_generation,MSG-SAMPLE-005,qwen-3b,kanana-nano-2.1b-vllm,0.6344109177589417
character_message_generation,MSG-SAMPLE-005,qwen-7b,kanana-nano-2.1b-vllm,0.7301203608512878
character_message_generation,MSG-SAMPLE-006,llama-3b,gemma-3-4b-it,0.5927678346633911
character_message_generation,MSG-SAMPLE-006,llama-3b,midm-base,0.5938692092895508
character_message_generation,MSG-SAMPLE-006,llama-3b,midm-mini,0.6505942940711975
character_message_generation,MSG-SAMPLE-006,llama-3b,qwen-3b,0.6225389242172241
character_message_generation,MSG-SAMPLE-006,llama-3b,qwen-7b,0.5072344541549683
character_message_generation,MSG-SAMPLE-006,llama-3b,kanana-nano-2.1b-vllm,0.6116863489151001
character_message_generation,MSG-SAMPLE-006,gemma-3-4b-it,midm-base,0.6488481760025024
character_message_generation,MSG-SAMPLE-006,gemma-3-4b-it,midm-mini,0.6711513996124268
character_message_generation,MSG-SAMPLE-006,gemma-3-4b-it,qwen-3b,0.5682483911514282
character_message_generation,MSG-SAMPLE-006,gemma-3-4b-it,qwen-7b,0.5883032083511353
character_message_generation,MSG-SAMPLE-006,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.7091993689537048
character_message_generation,MSG-SAMPLE-006,midm-base,midm-mini,0.7726731300354004
character_message_generation,MSG-SAMPLE-006,midm-base,qwen-3b,0.6012077331542969
character_message_generation,MSG-SAMPLE-006,midm-base,qwen-7b,0.7496405839920044
character_message_generation,MSG-SAMPLE-006,midm-base,kanana-nano-2.1b-vllm,0.6833910942077637
character_message_generation,MSG-SAMPLE-006,midm-mini,qwen-3b,0.6717970371246338
character_message_generation,MSG-SAMPLE-006,midm-mini,qwen-7b,0.6676063537597656
character_message_generation,MSG-SAMPLE-006,midm-mini,kanana-nano-2.1b-vllm,0.6551064252853394
character_message_generation,MSG-SAMPLE-006,qwen-3b,qwen-7b,0.743585467338562
character_message_generation,MSG-SAMPLE-006,qwen-3b,kanana-nano-2.1b-vllm,0.6384236812591553
character_message_generation,MSG-SAMPLE-006,qwen-7b,kanana-nano-2.1b-vllm,0.5910413265228271
character_message_generation,MSG-SAMPLE-007,llama-3b,gemma-3-4b-it,0.4094529151916504
character_message_generation,MSG-SAMPLE-007,llama-3b,midm-base,0.4744371473789215
character_message_generation,MSG-SAMPLE-007,llama-3b,midm-mini,0.41295361518859863
character_message_generation,MSG-SAMPLE-007,llama-3b,qwen-3b,0.4121359586715698
character_message_generation,MSG-SAMPLE-007,llama-3b,qwen-7b,0.618220329284668
character_message_generation,MSG-SAMPLE-007,llama-3b,kanana-nano-2.1b-vllm,0.5216529369354248
character_message_generation,MSG-SAMPLE-007,gemma-3-4b-it,midm-base,0.4991684854030609
character_message_generation,MSG-SAMPLE-007,gemma-3-4b-it,midm-mini,0.3662664294242859
character_message_generation,MSG-SAMPLE-007,gemma-3-4b-it,qwen-3b,0.6580893993377686
character_message_generation,MSG-SAMPLE-007,gemma-3-4b-it,qwen-7b,0.6106795072555542
character_message_generation,MSG-SAMPLE-007,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.3877582550048828
character_message_generation,MSG-SAMPLE-007,midm-base,midm-mini,0.6640720963478088
character_message_generation,MSG-SAMPLE-007,midm-base,qwen-3b,0.6602643132209778
character_message_generation,MSG-SAMPLE-007,midm-base,qwen-7b,0.7896063327789307
character_message_generation,MSG-SAMPLE-007,midm-base,kanana-nano-2.1b-vllm,0.5086541175842285
character_message_generation,MSG-SAMPLE-007,midm-mini,qwen-3b,0.5485632419586182
character_message_generation,MSG-SAMPLE-007,midm-mini,qwen-7b,0.6918693780899048
character_message_generation,MSG-SAMPLE-007,midm-mini,kanana-nano-2.1b-vllm,0.4516030550003052
character_message_generation,MSG-SAMPLE-007,qwen-3b,qwen-7b,0.7021021246910095
character_message_generation,MSG-SAMPLE-007,qwen-3b,kanana-nano-2.1b-vllm,0.5410816073417664
character_message_generation,MSG-SAMPLE-007,qwen-7b,kanana-nano-2.1b-vllm,0.605667233467102
character_message_generation,MSG-SAMPLE-008,llama-3b,gemma-3-4b-it,0.48965051770210266
character_message_generation,MSG-SAMPLE-008,llama-3b,midm-base,0.6129696369171143
character_message_generation,MSG-SAMPLE-008,llama-3b,midm-mini,0.6122488975524902
character_message_generation,MSG-SAMPLE-008,llama-3b,qwen-3b,0.5350561141967773
character_message_generation,MSG-SAMPLE-008,llama-3b,qwen-7b,0.4573591351509094
character_message_generation,MSG-SAMPLE-008,llama-3b,kanana-nano-2.1b-vllm,0.6898045539855957
character_message_generation,MSG-SAMPLE-008,gemma-3-4b-it,midm-base,0.5065618753433228
character_message_generation,MSG-SAMPLE-008,gemma-3-4b-it,midm-mini,0.6964238882064819
character_message_generation,MSG-SAMPLE-008,gemma-3-4b-it,qwen-3b,0.5041829347610474
character_message_generation,MSG-SAMPLE-008,gemma-3-4b-it,qwen-7b,0.5275591611862183
character_message_generation,MSG-SAMPLE-008,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.7822180986404419
character_message_generation,MSG-SAMPLE-008,midm-base,midm-mini,0.576034665107727
character_message_generation,MSG-SAMPLE-008,midm-base,qwen-3b,0.6844167709350586
character_message_generation,MSG-SAMPLE-008,midm-base,qwen-7b,0.4524822235107422
character_message_generation,MSG-SAMPLE-008,midm-base,kanana-nano-2.1b-vllm,0.6334782838821411
character_message_generation,MSG-SAMPLE-008,midm-mini,qwen-3b,0.6069844961166382
character_message_generation,MSG-SAMPLE-008,midm-mini,qwen-7b,0.3757968842983246
character_message_generation,MSG-SAMPLE-008,midm-mini,kanana-nano-2.1b-vllm,0.7656220197677612
character_message_generation,MSG-SAMPLE-008,qwen-3b,qwen-7b,0.3384665250778198
character_message_generation,MSG-SAMPLE-008,qwen-3b,kanana-nano-2.1b-vllm,0.6087275147438049
character_message_generation,MSG-SAMPLE-008,qwen-7b,kanana-nano-2.1b-vllm,0.3113958537578583
character_message_generation,MSG-SAMPLE-009,llama-3b,gemma-3-4b-it,0.4345676302909851
character_message_generation,MSG-SAMPLE-009,llama-3b,midm-base,0.3627675175666809
character_message_generation,MSG-SAMPLE-009,llama-3b,midm-mini,0.644298255443573
character_message_generation,MSG-SAMPLE-009,llama-3b,qwen-3b,0.6946436166763306
character_message_generation,MSG-SAMPLE-009,llama-3b,qwen-7b,0.538581907749176
character_message_generation,MSG-SAMPLE-009,llama-3b,kanana-nano-2.1b-vllm,0.5822658538818359
character_message_generation,MSG-SAMPLE-009,gemma-3-4b-it,midm-base,0.574227511882782
character_message_generation,MSG-SAMPLE-009,gemma-3-4b-it,midm-mini,0.7421883940696716
character_message_generation,MSG-SAMPLE-009,gemma-3-4b-it,qwen-3b,0.48315930366516113
character_message_generation,MSG-SAMPLE-009,gemma-3-4b-it,qwen-7b,0.7543849945068359
character_message_generation,MSG-SAMPLE-009,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.6661580801010132
character_message_generation,MSG-SAMPLE-009,midm-base,midm-mini,0.5075223445892334
character_message_generation,MSG-SAMPLE-009,midm-base,qwen-3b,0.37411463260650635
character_message_generation,MSG-SAMPLE-009,midm-base,qwen-7b,0.37410208582878113
character_message_generation,MSG-SAMPLE-009,midm-base,kanana-nano-2.1b-vllm,0.2799818515777588
character_message_generation,MSG-SAMPLE-009,midm-mini,qwen-3b,0.45453202724456787
character_message_generation,MSG-SAMPLE-009,midm-mini,qwen-7b,0.6202627420425415
character_message_generation,MSG-SAMPLE-009,midm-mini,kanana-nano-2.1b-vllm,0.5319755673408508
character_message_generation,MSG-SAMPLE-009,qwen-3b,qwen-7b,0.6623277068138123
character_message_generation,MSG-SAMPLE-009,qwen-3b,kanana-nano-2.1b-vllm,0.7040556073188782
character_message_generation,MSG-SAMPLE-009,qwen-7b,kanana-nano-2.1b-vllm,0.7628435492515564
character_message_generation,MSG-SAMPLE-010,llama-3b,gemma-3-4b-it,0.5492726564407349
character_message_generation,MSG-SAMPLE-010,llama-3b,midm-base,0.7122123837471008
character_message_generation,MSG-SAMPLE-010,llama-3b,midm-mini,0.49876201152801514
character_message_generation,MSG-SAMPLE-010,llama-3b,qwen-3b,0.6060296297073364
character_message_generation,MSG-SAMPLE-010,llama-3b,qwen-7b,0.5947343707084656
character_message_generation,MSG-SAMPLE-010,llama-3b,kanana-nano-2.1b-vllm,0.6019643545150757
character_message_generation,MSG-SAMPLE-010,gemma-3-4b-it,midm-base,0.5132263898849487
character_message_generation,MSG-SAMPLE-010,gemma-3-4b-it,midm-mini,0.5575990080833435
character_message_generation,MSG-SAMPLE-010,gemma-3-4b-it,qwen-3b,0.515910267829895
character_message_generation,MSG-SAMPLE-010,gemma-3-4b-it,qwen-7b,0.39445725083351135
character_message_generation,MSG-SAMPLE-010,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.358899861574173
character_message_generation,MSG-SAMPLE-010,midm-base,midm-mini,0.7920395135879517
character_message_generation,MSG-SAMPLE-010,midm-base,qwen-3b,0.6505299806594849
character_message_generation,MSG-SAMPLE-010,midm-base,qwen-7b,0.5555182099342346
character_message_generation,MSG-SAMPLE-010,midm-base,kanana-nano-2.1b-vllm,0.6314347982406616
character_message_generation,MSG-SAMPLE-010,midm-mini,qwen-3b,0.6314502954483032
character_message_generation,MSG-SAMPLE-010,midm-mini,qwen-7b,0.5297023057937622
character_message_generation,MSG-SAMPLE-010,midm-mini,kanana-nano-2.1b-vllm,0.6164914965629578
character_message_generation,MSG-SAMPLE-010,qwen-3b,qwen-7b,0.47367727756500244
character_message_generation,MSG-SAMPLE-010,qwen-3b,kanana-nano-2.1b-vllm,0.6203936338424683
character_message_generation,MSG-SAMPLE-010,qwen-7b,kanana-nano-2.1b-vllm,0.5540652871131897
feed_post_generation,FEED-SAMPLE-001,llama-3b,gemma-3-4b-it,0.651199221611023
feed_post_generation,FEED-SAMPLE-001,llama-3b,midm-base,0.6568560600280762
feed_post_generation,FEED-SAMPLE-001,llama-3b,midm-mini,0.7474535703659058
feed_post_generation,FEED-SAMPLE-001,llama-3b,qwen-3b,0.5840559005737305
feed_post_generation,FEED-SAMPLE-001,llama-3b,qwen-7b,0.6598391532897949
feed_post_generation,FEED-SAMPLE-001,llama-3b,kanana-nano-2.1b-vllm,0.6314834952354431
feed_post_generation,FEED-SAMPLE-001,gemma-3-4b-it,midm-base,0.7533572316169739
feed_post_generation,FEED-SAMPLE-001,gemma-3-4b-it,midm-mini,0.8144334554672241
feed_post_generation,FEED-SAMPLE-001,gemma-3-4b-it,qwen-3b,0.7421672940254211
feed_post_generation,FEED-SAMPLE-001,gemma-3-4b-it,qwen-7b,0.7771317958831787
feed_post_generation,FEED-SAMPLE-001,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.7517222166061401
feed_post_generation,FEED-SAMPLE-001,midm-base,midm-mini,0.9061973094940186
feed_post_generation,FEED-SAMPLE-001,midm-base,qwen-3b,0.8080979585647583
feed_post_generation,FEED-SAMPLE-001,midm-base,qwen-7b,0.7216669321060181
feed_post_generation,FEED-SAMPLE-001,midm-base,kanana-nano-2.1b-vllm,0.7605336904525757
feed_post_generation,FEED-SAMPLE-001,midm-mini,qwen-3b,0.7881031632423401
feed_post_generation,FEED-SAMPLE-001,midm-mini,qwen-7b,0.7522296905517578
feed_post_generation,FEED-SAMPLE-001,midm-mini,kanana-nano-2.1b-vllm,0.7577527761459351
feed_post_generation,FEED-SAMPLE-001,qwen-3b,qwen-7b,0.6497879028320312
feed_post_generation,FEED-SAMPLE-001,qwen-3b,kanana-nano-2.1b-vllm,0.7157003879547119
feed_post_generation,FEED-SAMPLE-001,qwen-7b,kanana-nano-2.1b-vllm,0.7916122674942017
feed_post_generation,FEED-SAMPLE-002,llama-3b,gemma-3-4b-it,0.4419376254081726
feed_post_generation,FEED-SAMPLE-002,llama-3b,midm-base,0.4097532629966736
feed_post_generation,FEED-SAMPLE-002,llama-3b,midm-mini,0.5284785628318787
feed_post_generation,FEED-SAMPLE-002,llama-3b,qwen-3b,0.7212499380111694
feed_post_generation,FEED-SAMPLE-002,llama-3b,qwen-7b,0.6404387950897217
feed_post_generation,FEED-SAMPLE-002,llama-3b,kanana-nano-2.1b-vllm,0.6420983076095581
feed_post_generation,FEED-SAMPLE-002,gemma-3-4b-it,midm-base,0.5554049015045166
feed_post_generation,FEED-SAMPLE-002,gemma-3-4b-it,midm-mini,0.8255190849304199
feed_post_generation,FEED-SAMPLE-002,gemma-3-4b-it,qwen-3b,0.507832944393158
feed_post_generation,FEED-SAMPLE-002,gemma-3-4b-it,qwen-7b,0.7623584866523743
feed_post_generation,FEED-SAMPLE-002,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.677035927772522
feed_post_generation,FEED-SAMPLE-002,midm-base,midm-mini,0.5680205821990967
feed_post_generation,FEED-SAMPLE-002,midm-base,qwen-3b,0.5715758800506592
feed_post_generation,FEED-SAMPLE-002,midm-base,qwen-7b,0.4963700473308563
feed_post_generation,FEED-SAMPLE-002,midm-base,kanana-nano-2.1b-vllm,0.6519598960876465
feed_post_generation,FEED-SAMPLE-002,midm-mini,qwen-3b,0.6467670202255249
feed_post_generation,FEED-SAMPLE-002,midm-mini,qwen-7b,0.7230654954910278
feed_post_generation,FEED-SAMPLE-002,midm-mini,kanana-nano-2.1b-vllm,0.8224432468414307
feed_post_generation,FEED-SAMPLE-002,qwen-3b,qwen-7b,0.5977616310119629
feed_post_generation,FEED-SAMPLE-002,qwen-3b,kanana-nano-2.1b-vllm,0.7250881195068359
feed_post_generation,FEED-SAMPLE-002,qwen-7b,kanana-nano-2.1b-vllm,0.6247926950454712
feed_post_generation,FEED-SAMPLE-003,llama-3b,gemma-3-4b-it,0.6242693066596985
feed_post_generation,FEED-SAMPLE-003,llama-3b,midm-base,0.5055180788040161
feed_post_generation,FEED-SAMPLE-003,llama-3b,midm-mini,0.6062818765640259
feed_post_generation,FEED-SAMPLE-003,llama-3b,qwen-3b,0.5713298916816711
feed_post_generation,FEED-SAMPLE-003,llama-3b,qwen-7b,0.4387620985507965
feed_post_generation,FEED-SAMPLE-003,llama-3b,kanana-nano-2.1b-vllm,0.6379474401473999
feed_post_generation,FEED-SAMPLE-003,gemma-3-4b-it,midm-base,0.7508388161659241
feed_post_generation,FEED-SAMPLE-003,gemma-3-4b-it,midm-mini,0.8873590230941772
feed_post_generation,FEED-SAMPLE-003,gemma-3-4b-it,qwen-3b,0.6740036010742188
feed_post_generation,FEED-SAMPLE-003,gemma-3-4b-it,qwen-7b,0.718853771686554
feed_post_generation,FEED-SAMPLE-003,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.8245967030525208
feed_post_generation,FEED-SAMPLE-003,midm-base,midm-mini,0.8118753433227539
feed_post_generation,FEED-SAMPLE-003,midm-base,qwen-3b,0.6605377197265625
feed_post_generation,FEED-SAMPLE-003,midm-base,qwen-7b,0.8230831027030945
feed_post_generation,FEED-SAMPLE-003,midm-base,kanana-nano-2.1b-vllm,0.747256338596344
feed_post_generation,FEED-SAMPLE-003,midm-mini,qwen-3b,0.6392267346382141
feed_post_generation,FEED-SAMPLE-003,midm-mini,qwen-7b,0.7800037860870361
feed_post_generation,FEED-SAMPLE-003,midm-mini,kanana-nano-2.1b-vllm,0.8356071710586548
feed_post_generation,FEED-SAMPLE-003,qwen-3b,qwen-7b,0.5817165374755859
feed_post_generation,FEED-SAMPLE-003,qwen-3b,kanana-nano-2.1b-vllm,0.6983476877212524
feed_post_generation,FEED-SAMPLE-003,qwen-7b,kanana-nano-2.1b-vllm,0.6496065855026245
feed_post_generation,FEED-SAMPLE-004,llama-3b,gemma-3-4b-it,0.5485624074935913
feed_post_generation,FEED-SAMPLE-004,llama-3b,midm-base,0.6058650016784668
feed_post_generation,FEED-SAMPLE-004,llama-3b,midm-mini,0.4661062955856323
feed_post_generation,FEED-SAMPLE-004,llama-3b,qwen-3b,0.5455511808395386
feed_post_generation,FEED-SAMPLE-004,llama-3b,qwen-7b,0.5042241811752319
feed_post_generation,FEED-SAMPLE-004,llama-3b,kanana-nano-2.1b-vllm,0.5941884517669678
feed_post_generation,FEED-SAMPLE-004,gemma-3-4b-it,midm-base,0.7545586824417114
feed_post_generation,FEED-SAMPLE-004,gemma-3-4b-it,midm-mini,0.7877689599990845
feed_post_generation,FEED-SAMPLE-004,gemma-3-4b-it,qwen-3b,0.6236752271652222
feed_post_generation,FEED-SAMPLE-004,gemma-3-4b-it,qwen-7b,0.7066139578819275
feed_post_generation,FEED-SAMPLE-004,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.7983275651931763
feed_post_generation,FEED-SAMPLE-004,midm-base,midm-mini,0.7683823108673096
feed_post_generation,FEED-SAMPLE-004,midm-base,qwen-3b,0.5540801286697388
feed_post_generation,FEED-SAMPLE-004,midm-base,qwen-7b,0.7611109614372253
feed_post_generation,FEED-SAMPLE-004,midm-base,kanana-nano-2.1b-vllm,0.7480249404907227
feed_post_generation,FEED-SAMPLE-004,midm-mini,qwen-3b,0.6015216112136841
feed_post_generation,FEED-SAMPLE-004,midm-mini,qwen-7b,0.7556154727935791
feed_post_generation,FEED-SAMPLE-004,midm-mini,kanana-nano-2.1b-vllm,0.7830023765563965
feed_post_generation,FEED-SAMPLE-004,qwen-3b,qwen-7b,0.6613966822624207
feed_post_generation,FEED-SAMPLE-004,qwen-3b,kanana-nano-2.1b-vllm,0.7289408445358276
feed_post_generation,FEED-SAMPLE-004,qwen-7b,kanana-nano-2.1b-vllm,0.8266518115997314
feed_post_generation,FEED-SAMPLE-005,llama-3b,gemma-3-4b-it,0.6349650621414185
feed_post_generation,FEED-SAMPLE-005,llama-3b,midm-base,0.7033678293228149
feed_post_generation,FEED-SAMPLE-005,llama-3b,midm-mini,0.6646713018417358
feed_post_generation,FEED-SAMPLE-005,llama-3b,qwen-3b,0.5406731367111206
feed_post_generation,FEED-SAMPLE-005,llama-3b,qwen-7b,0.6446729898452759
feed_post_generation,FEED-SAMPLE-005,llama-3b,kanana-nano-2.1b-vllm,0.7296938896179199
feed_post_generation,FEED-SAMPLE-005,gemma-3-4b-it,midm-base,0.7795791625976562
feed_post_generation,FEED-SAMPLE-005,gemma-3-4b-it,midm-mini,0.7586246132850647
feed_post_generation,FEED-SAMPLE-005,gemma-3-4b-it,qwen-3b,0.7169544696807861
feed_post_generation,FEED-SAMPLE-005,gemma-3-4b-it,qwen-7b,0.7800213098526001
